Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","705","Slovénie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","11272.44","A","Chiffre officiel"
"TCL","Cultures et produits animaux","705","Slovénie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","26508","A","Chiffre officiel"
"TCL","Cultures et produits animaux","705","Slovénie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17796.93","A","Chiffre officiel"
"TCL","Cultures et produits animaux","705","Slovénie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","45495","A","Chiffre officiel"
"TCL","Cultures et produits animaux","706","Somalie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2085.4","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","706","Somalie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","2855","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","729","Soudan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","616.58","I","Valeur imputée"
"TCL","Cultures et produits animaux","729","Soudan","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1142","A","Chiffre officiel"
"TCL","Cultures et produits animaux","728","Soudan du Sud","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","788.72","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","728","Soudan du Sud","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1331","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","144","Sri Lanka","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","209.69","A","Chiffre officiel"
"TCL","Cultures et produits animaux","144","Sri Lanka","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","631","A","Chiffre officiel"
"TCL","Cultures et produits animaux","144","Sri Lanka","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2009.6","A","Chiffre officiel"
"TCL","Cultures et produits animaux","144","Sri Lanka","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","863","A","Chiffre officiel"
"TCL","Cultures et produits animaux","752","Suède","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","52918.15","A","Chiffre officiel"
"TCL","Cultures et produits animaux","752","Suède","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","172875","A","Chiffre officiel"
"TCL","Cultures et produits animaux","752","Suède","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","16487.4","A","Chiffre officiel"
"TCL","Cultures et produits animaux","752","Suède","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","28224","A","Chiffre officiel"
"TCL","Cultures et produits animaux","756","Suisse","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","33791.47","A","Chiffre officiel"
"TCL","Cultures et produits animaux","756","Suisse","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","126957","A","Chiffre officiel"
"TCL","Cultures et produits animaux","756","Suisse","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3106.28","A","Chiffre officiel"
"TCL","Cultures et produits animaux","756","Suisse","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","4793","A","Chiffre officiel"
"TCL","Cultures et produits animaux","740","Suriname","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17706.96","A","Chiffre officiel"
"TCL","Cultures et produits animaux","740","Suriname","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","14952","A","Chiffre officiel"
"TCL","Cultures et produits animaux","740","Suriname","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","4644.38","A","Chiffre officiel"
"TCL","Cultures et produits animaux","740","Suriname","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","3472","A","Chiffre officiel"
"TCL","Cultures et produits animaux","762","Tadjikistan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2608.61","A","Chiffre officiel"
"TCL","Cultures et produits animaux","762","Tadjikistan","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","2601","A","Chiffre officiel"
"TCL","Cultures et produits animaux","762","Tadjikistan","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","0.03","A","Chiffre officiel"
"TCL","Cultures et produits animaux","762","Tadjikistan","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","0","A","Chiffre officiel"
"TCL","Cultures et produits animaux","148","Tchad","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","600.9","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","148","Tchad","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1040","T","Chiffre non officiel"
