Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB par habitant,Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Population totale,Population urbaine,Part de l'élevage de poulet (%),Political_Stability,distance_km
Canada,1.5731149507551032,1.7158438365283686,0.6334799056990958,1.1922300731536624,1.8067582940232858,-0.3582991314758825,1.604778949153819,2.5382746396423284,-0.7995671122123289,-0.5846496242882555,0.3051647966539167,0.8190624941929442,-0.4011766712336041,1.5222486153858235,0.013749127634105195
Chili,1.2303276535230219,0.5112148472596119,0.36163928756014757,0.9316185369811598,0.5553040548899327,-0.3582991314758825,0.5430486067736161,0.3471078312776144,-0.41941473057355433,-0.589912452229928,-0.13879901008982465,0.15054086148047333,0.5868540597907803,0.6807630977150181,1.4446345434120438
"Chine, Taiwan Province de",0.9810278009905985,0.6900887970459055,-0.2443387570412579,0.9895322116861603,0.7411310312658446,-0.3582991314758825,0.45268857763487547,0.274840501166574,1.455336751508193,0.1784604272542627,-0.009498428204323658,0.27345145378379787,1.3777653592561128,0.04299217747628317,0.990646514635514
Chypre,0.6839454767227945,-0.4923788179130447,-0.2839821805198545,-0.429352818586353,-0.5004562887679026,-0.3089397863072525,-0.49157372686496426,1.2084532834392734,-0.833580746358956,-0.947784752263661,-0.5577222934506548,-0.5662189682665704,-0.25820424402256326,0.8292605420098662,-0.7671510152840162
Colombie,0.681867977951691,2.048264451175463,-0.2783188343086264,0.1883930449336528,2.0238305142146165,3.491729791677257,1.8261610205437333,-0.2845798420646523,-0.7995671122123289,-0.4162391301547341,0.5931693265946874,1.2812347608573476,-0.5307644456844623,-0.7918365582088909,0.6808321199050028
Congo,0.24143823847774357,-0.3784060357483266,-0.2896455267310826,0.43935230198865516,-0.3688973674398235,-0.3582991314758825,-0.5186817356065865,-0.5939050389464645,0.16081785192773343,-1.2846057405307032,-0.45753703226488046,-0.43689351353714934,-0.33364501412541037,0.04299217747628317,0.013962742959128343
Costa Rica,0.3411581794907127,-0.34041510836008726,-0.27265548809739837,-0.4003959812338527,-0.3343631505912027,-0.3582991314758825,-0.3289256744152311,0.14393016437345588,1.3973134932580635,-0.07415531394601937,-0.4653124290033673,-0.41980873718000417,0.016789530868460106,0.9158840511818608,0.7553300145992006
Croatie,-0.46283384492635166,-0.48129813075814154,-0.1933686411402051,-0.3328300274113521,-0.4757889910188878,-0.3582991314758825,-0.43735770938171986,0.2328478604308372,1.811479509043466,0.41002485668785404,-0.48487615801047207,-0.4904910963298115,-0.19188937352893154,0.04299217747628317,-1.244762381820844
Cuba,0.1728807790313272,-0.01116040432867941,-0.2896455267310826,2.447026358428674,-0.1074240113002661,-0.3582991314758825,-0.4855497249223815,-0.12599998440679983,0.03802033001061756,-0.017946879466933192,-0.3104733290283371,-0.18165442046785948,-0.6001212827144993,0.9653831992801435,0.451381722861675
Côte d'Ivoire,-1.1276334516794797,-0.4496390246012754,-0.2896455267310826,-0.4969187724088536,-0.447832720236671,-0.2102210959699925,-0.4418757108386569,-0.5970995015215523,0.020761711323974644,1.2310260155887702,0.019381602874226238,-0.01994035080469072,1.1222401701980826,0.04299217747628317,-0.33613205757881465
