Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB (en millions),Valeur US $ par habitant du PIB (en US dol),Valeur US $ du RNB (en millions),Valeur US $ par habitant du RNB (en US dol),Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Coût des fruits,"Coût en légumineuses, noix et graines",Coût en huile et graisse,Coût des féculents,Coût des légumes,Femmes,Hommes,Population rurale,Population totale,Population urbaine
Luxembourg,7.19,11.0,1.0,11.0,11.0,0,0.0,65712.180343,111017.182246,41383.384601,69914.99485,2.492,0.656,0.762,0.28,0.056,0.208,0.53,296.69,299.592,54.103,596.283,529.352
Macédoine du Nord,7.01,41.0,1.0,40.0,41.0,0,2.0,11307.06119,5430.875559,10859.241079,5215.783834,3.318,0.949,0.64,0.347,0.146,0.525,0.712,1058.136,1053.843,880.172,2111.979,1202.988
Madagascar,0.97,82.0,0,0.0,73.0,2.0,81.0,13176.313594,515.293303,12816.629099,501.226925,2.987,1.02,0.563,0.328,0.197,0.555,0.324,13044.649,13124.892,16231.87,26169.542,9339.025
Malaisie,12.95,1621.0,44.0,68.0,1220.0,82.0,1724.0,319109.103242,10259.210256,310119.729106,9970.20603,3.224,0.83,0.929,0.294,0.067,0.456,0.648,15584.594,16391.213,7764.814,31975.806,23859.45
Malawi,1.74,98.0,0,0.0,91.0,7.0,130.0,8943.543794,506.137215,8787.358929,497.298328,2.724,1.085,0.396,0.13,0.176,0.328,0.61,9197.987,8683.181,15509.514,17881.167,3112.59
Maldives,4.7,12.0,0,12.0,7.0,0,0,4754.185598,9577.289371,4378.297804,8820.064794,3.581,0.906,0.861,0.409,0.099,0.239,1.067,199.814,272.628,264.503,472.442,171.827
Mali,0.96,52.0,0,1.0,52.0,0,48.0,15365.713059,830.0214,14864.816789,802.964105,2.9,1.003,0.543,0.134,0.143,0.43,0.648,9556.879,9754.475,10833.712,19311.355,7708.268
Malte,12.68,14.0,0.0,9.0,12.0,0,4.0,13510.309062,30850.17357,12162.147546,27771.708334,3.494,0.795,0.931,0.45,0.08,0.508,0.73,234.787,244.709,23.498,479.497,407.337
Maroc,7.29,746.0,1.0,3.0,746.0,0,762.0,109682.751915,3082.599304,107532.730811,3022.173636,2.71,0.798,0.539,0.358,0.119,0.41,0.485,17646.668,17881.446,13613.878,35528.115,22125.702
Maurice,13.06,49.0,0.0,2.0,48.0,0,48.0,13259.348214,10485.851087,13406.064959,10601.878656,3.313,0.876,0.565,0.296,0.1,0.407,1.07,654.271,640.47,748.44,1294.741,516.698
Mauritanie,1.59,22.0,0,24.0,22.0,0,5.0,6800.135962,1587.863353,6702.875629,1565.152614,3.451,0.96,0.804,0.194,0.16,0.463,0.87,2126.733,2033.282,2085.278,4160.015,2334.906
Mexique,9.26,4219.0,9.0,972.0,4058.0,161.0,3249.0,1158912.015259,9287.841557,1128822.084712,9046.692528,2.993,0.766,0.599,0.35,0.096,0.411,0.771,62712.641,60126.616,26004.525,122839.258,103158.751
Mongolie,0.95,9.0,0,10.0,9.0,0,0.0,11425.755104,3669.409235,9817.043801,3152.76766,4.544,0.756,1.921,0.468,0.167,0.553,0.68,1557.431,1538.598,973.037,3096.03,2102.61
Monténégro,5.79,10.0,0.0,8.0,10.0,0,4.0,4856.612346,7738.844301,4956.348508,7897.770435,3.397,0.862,0.833,0.367,0.081,0.425,0.829,324.01,308.428,210.847,632.438,418.113
Mozambique,1.2,116.0,0,24.0,103.0,4.0,92.0,13219.07958,461.414754,12896.849068,450.16723,3.031,0.993,0.389,0.208,0.191,0.408,0.843,14567.003,14002.439,19149.788,28569.441,10519.046
Myanmar,9.93,1666.0,0.0,3.0,1621.0,45.0,1662.0,68209.182343,1277.743698,67862.828769,1271.255552,3.706,1.029,0.64,0.368,0.111,0.645,0.913,26225.112,26063.229,37187.526,52288.341,16183.083
Namibie,4.25,28.0,12.0,29.0,28.0,0,11.0,12887.501268,5363.907541,12653.982428,5266.714654,3.255,0.736,0.811,0.192,0.115,0.571,0.83,1222.272,1142.262,1292.108,2364.534,1241.686
Nicaragua,6.91,138.0,0.0,6.0,138.0,0,143.0,13785.892849,2159.158239,13070.984566,2047.188697,3.191,1.016,0.373,0.331,0.14,0.587,0.743,3286.867,3193.665,2592.801,6480.532,3624.78
Niger,0.32,21.0,0.0,3.0,20.0,1.0,19.0,11185.105961,517.771881,11003.48873,509.364603,2.85,1.138,0.601,0.094,0.144,0.401,0.473,10716.126,11021.796,17965.903,21737.922,3511.445
Nigéria,0.31,202.0,0.0,0.0,192.0,10.0,201.0,375769.719405,1968.687237,344771.129603,1806.283177,3.565,0.994,0.522,0.23,0.13,0.757,0.932,95832.952,97662.955,96361.295,193495.907,94525.016
Norvège,7.81,102.0,0.0,2.0,101.0,0,101.0,398393.955269,75220.814442,413028.249043,77983.91735,3.325,0.691,0.615,0.257,0.075,0.565,1.122,2618.422,2658.97,961.814,5277.392,4343.569
Nouvelle-Zélande,12.02,168.0,23.0,1.0,164.0,0,223.0,206623.7588,43943.484628,199194.086293,42363.387056,2.671,0.739,0.663,0.299,0.056,0.313,0.6,2412.711,2333.541,636.894,4746.252,4068.924
Népal,0.67,58.0,0,0.0,55.0,3.0,58.0,29443.014181,1065.514207,29739.584014,1076.246782,4.127,1.38,1.025,0.337,0.166,0.507,0.711,14777.629,13405.797,23638.57,28183.426,5666.428
Oman,7.38,114.0,16.0,126.0,101.0,0,7.0,70598.026283,15130.543438,67824.431079,14536.107518,2.815,0.842,0.378,0.351,0.148,0.496,0.599,1580.938,2960.916,762.22,4541.854,3874.042
Ouganda,0.51,66.0,0.0,0.0,62.0,3.0,65.0,31578.959827,767.101705,30835.90096,749.051657,2.749,0.853,0.494,0.196,0.184,0.495,0.528,20303.726,19823.359,32920.646,40127.085,9942.312
Pakistan,1.97,1282.0,4.0,2.0,1218.0,64.0,1281.0,302709.723378,1455.991742,319244.162902,1535.5201,3.408,1.019,0.923,0.34,0.193,0.41,0.524,106376.569,110003.086,125220.255,216379.655,71795.7
Panama,10.34,192.0,0.0,20.0,139.0,2.0,198.0,62202.725204,15146.390071,57649.315504,14037.63287,4.225,1.11,0.654,0.306,0.17,0.69,1.295,2045.156,2050.907,1337.579,4096.063,2761.008
Paraguay,1.8,41.0,4.0,1.0,41.0,0,45.0,38997.129809,5678.86754,37666.710783,5485.128322,3.43,0.809,0.455,0.826,0.142,0.474,0.724,3161.074,3194.33,2635.972,6355.404,4175.325
Pays-Bas,8.48,372.0,1418.0,608.0,346.0,0,1100.0,833869.641687,48989.638816,840203.764044,49361.766965,2.743,0.614,0.607,0.255,0.053,0.322,0.892,8667.528,8539.671,1520.119,17207.198,15515.819
Philippines,4.65,1521.0,2.0,249.0,1459.0,62.0,1272.0,328480.738148,3123.244296,364718.699004,3467.800282,3.843,1.095,0.591,0.319,0.201,0.684,0.953,52616.948,54121.554,55939.801,106738.501,48978.289
Pologne,12.14,1156.0,1025.0,55.0,1150.0,27.0,2351.0,526504.233551,13872.466907,504659.110954,13296.886083,2.909,0.584,0.651,0.377,0.09,0.318,0.89,19886.668,18646.143,15228.329,38532.812,22942.383
Portugal,12.74,325.0,44.0,82.0,315.0,0,361.0,221357.874719,21515.021025,216161.830459,21009.988161,2.513,0.583,0.687,0.275,0.078,0.271,0.62,5429.443,4878.087,3651.305,10307.53,6678.201
Pérou,6.71,1523.0,1.0,60.0,424.0,316.0,1465.0,211007.952316,6710.531503,201299.897805,6401.793349,3.084,0.898,0.57,0.35,0.122,0.591,0.552,15939.422,15666.065,7166.47,31605.486,24999.015
Roumanie,7.91,381.0,69.0,146.0,381.0,0,392.0,211695.857898,10771.150494,207370.19817,10551.059594,2.921,0.945,0.697,0.351,0.073,0.358,0.497,10158.82,9540.032,9065.003,19698.853,10614.303
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,13.77,2234.0,359.0,779.0,2131.0,0,1814.0,2699016.715111,40448.365256,2664014.258149,39923.806754,1.822,0.494,0.533,0.195,0.053,0.147,0.399,33480.376,32584.428,11156.164,66064.804,55025.421
Rwanda,0.5,19.0,0.0,0.0,18.0,1.0,19.0,9252.814353,772.29317,8961.78484,748.002171,2.609,0.919,0.481,0.136,0.19,0.58,0.303,6269.8,5960.539,10117.663,12230.339,2090.744
